atomic_finding_id,candidate_id,cluster_id,bug_type_id,mapping_status
AF-000001,VF-01-almheiri-r01-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000002,VF-01-almheiri-r01-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000003,VF-01-almheiri-r01-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000004,VF-01-almheiri-r01-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000005,VF-01-almheiri-r01-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000008,VF-01-almheiri-r01-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000029,VF-01-almheiri-r01-004,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000030,VF-01-almheiri-r01-004,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000050,VF-01-almheiri-r01-008,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000051,VF-01-almheiri-r01-008,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000052,VF-01-almheiri-r01-008,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000053,VF-01-almheiri-r01-008,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000054,VF-01-almheiri-r01-008,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000057,VF-01-almheiri-r01-008,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000061,VF-01-almheiri-r01-008,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000070,VF-01-almheiri-r02-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000071,VF-01-almheiri-r02-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000072,VF-01-almheiri-r02-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000073,VF-01-almheiri-r02-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000074,VF-01-almheiri-r02-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000075,VF-01-almheiri-r02-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000076,VF-01-almheiri-r02-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000078,VF-01-almheiri-r02-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000079,VF-01-almheiri-r02-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000080,VF-01-almheiri-r02-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000081,VF-01-almheiri-r02-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000082,VF-01-almheiri-r02-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000083,VF-01-almheiri-r02-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000084,VF-01-almheiri-r02-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000086,VF-01-almheiri-r02-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000088,VF-01-almheiri-r02-001,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000109,VF-01-almheiri-r02-004,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000110,VF-01-almheiri-r02-004,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000111,VF-01-almheiri-r02-004,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000122,VF-01-almheiri-r02-007,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000123,VF-01-almheiri-r02-007,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000124,VF-01-almheiri-r02-007,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000125,VF-01-almheiri-r02-007,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000126,VF-01-almheiri-r02-007,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000270,VF-02-maloney-r01-004,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000271,VF-02-maloney-r01-004,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000272,VF-02-maloney-r01-004,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000273,VF-02-maloney-r01-004,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000274,VF-02-maloney-r01-004,CS-0001,BT-CAMP-0001,canonical_bug_type
AF-000275,VF-02-maloney-r01-004,CS-0001,BT-CAMP-0001,canonical_bug_type
